1 attraction: Object { x: -12419.127437112122, y: -21318.85775268757, z: 11738.080034748982 } repulsion: Object { x: 2.0187135027036984e-12, y: 3.465353441737251e-12, z: -1.908010106342442e-12 }index.html:82:11
2 attraction: Object { x: 12419.127437112122, y: 21318.85775268757, z: -11738.080034748982 } repulsion: Object { x: -2.0187135027036984e-12, y: -3.465353441737251e-12, z: 1.908010106342442e-12 }index.html:82:11
1 attraction: Object { x: -12419.127437112122, y: -21318.85775268757, z: 11738.080034748982 } repulsion: Object { x: 2.0187135027036984e-12, y: 3.465353441737251e-12, z: -1.908010106342442e-12 }index.html:82:11
2 attraction: Object { x: 12419.127437112122, y: 21318.85775268757, z: -11738.080034748982 } repulsion: Object { x: -2.0187135027036984e-12, y: -3.465353441737251e-12, z: 1.908010106342442e-12 }index.html:82:11
1 attraction: Object { x: -5664.136255159377, y: -9723.1400295271, z: 5353.5230254666285 } repulsion: Object { x: 7.409200114182792e-15, y: 1.2718742447512049e-14, z: -7.002890047963984e-15 }index.html:82:11
2 attraction: Object { x: 5664.136255159377, y: 9723.1400295271, z: -5353.5230254666285 } repulsion: Object { x: -7.409200114182792e-15, y: -1.2718742447512049e-14, z: 7.002890047963984e-15 }index.html:82:11
1 attraction: Object { x: -5664.136255159377, y: -9723.1400295271, z: 5353.5230254666285 } repulsion: Object { x: 7.409200114182792e-15, y: 1.2718742447512049e-14, z: -7.002890047963984e-15 }index.html:82:11
2 attraction: Object { x: 5664.136255159377, y: 9723.1400295271, z: -5353.5230254666285 } repulsion: Object { x: -7.409200114182792e-15, y: -1.2718742447512049e-14, z: 7.002890047963984e-15 }index.html:82:11
1 attraction: Object { x: 8169.565989927737, y: 14023.997750438039, z: -7721.558533361346 } repulsion: Object { x: 1.766624907341233e-15, y: 3.032614432268072e-15, z: -1.6697456933878136e-15 }index.html:82:11
2 attraction: Object { x: -8169.565989927737, y: -14023.997750438039, z: 7721.558533361346 } repulsion: Object { x: -1.766624907341233e-15, y: -3.032614432268072e-15, z: 1.6697456933878136e-15 }index.html:82:11
1 attraction: Object { x: 26813.490086530273, y: 46028.43347106855, z: -25343.0761734601 } repulsion: Object { x: 9.726276643192969e-16, y: 1.6696270270959977e-15, z: -9.192901373790613e-16 }index.html:82:11
2 attraction: Object { x: -26813.490086530273, y: -46028.43347106855, z: 25343.0761734601 } repulsion: Object { x: -9.726276643192969e-16, y: -1.6696270270959977e-15, z: 9.192901373790613e-16 }index.html:82:11
1 attraction: Object { x: 26813.490086530273, y: 46028.43347106855, z: -25343.0761734601 } repulsion: Object { x: 9.726276643192969e-16, y: 1.6696270270959977e-15, z: -9.192901373790613e-16 }index.html:82:11
2 attraction: Object { x: -26813.490086530273, y: -46028.43347106855, z: 25343.0761734601 } repulsion: Object { x: -9.726276643192969e-16, y: -1.6696270270959977e-15, z: 9.192901373790613e-16 }index.html:82:11
1 attraction: Object { x: 44197.06691102874, y: 75869.33843247026, z: -41773.36220518306 } repulsion: Object { x: 1.1187755651003187e-15, y: 1.9205066741067715e-15, z: -1.0574234937654182e-15 }index.html:82:11
